项目名称,住宅总套数,项目地址,开发单位,项目类型,设计单位,总建筑面积,施工单位,住宅建筑面积,监理单位
浦东新区川沙新镇六灶社区08-1地块,917,北至聚溪路，东至吉秋路，西至吉夏路，南至北新溪路,光明房地产集团上海汇兆置业有限公司,保障房,上海城乡建筑设计院有限公司,95686,上海农工商建设发展有限公司,68870,上海建通工程建设有限公司
上海国际医学园区22A-05地块动迁安置房,608,东侧为范新港，西侧为薰衣草路，南侧为周祝公路，北侧为六灶港,上海建工悦建房产有限公司,保障房,上海市建工设计研究总院有限公司,73308,上海建工四建集团有限公司,46908,上海市工程建设咨询监理有限公司
浦东新区惠南新市镇25号（宣桥）单元01-03地块,1332,东至01-05和01-06地块，南至01-04 地块，西至规划滨河路，北至01-01 和01-02 地块。,浦开集团-东旭置业,保障房,华东建筑设计研究院有限公司,135540,江苏南通二建集团有限公司,100263,上海建融工程建设监理有限公司
奉贤区庄行镇邬桥社区FXS3-0301单元11-01地块动迁安置房（农民相对集中住房）,552,奉贤区安东路99号,上海程贤置业有限公司,征收安置住房,上海奉贤建筑设计有限公司,79259,中建七局（上海）有限公司,52000,上海同建工程建设监理咨询有限责任公司
奉贤区四团镇FXS5-0101单元39-01地块动迁安置房项目,924,奉贤区东至陆家桥港，南至四团中路，西至四团环西路，北至四团环北路,上海大力经济发展有限公司,征收安置住房,上海之景市政建设规划设计有限公司,124043,上海佳裕建设发展有限公司,85100,上海金申工程建设监理有限公司
徐行33-02地块,446,东至启秀路，西至启源路，南至胜竹东路，北至顺宁路,上海嘉定区住宅建设综合开发有限责任公司,征收安置住房,华东建筑设计研究院有限公司,63200,上海宝冶集团有限公司,39900,上海市工程建设咨询监理有限公司
安亭11-04地块,222,嘉定区安亭镇，东至基地边界，西至晓耕路，南至宝安公路，北至基地边界,上海嘉定城发置业有限公司,征收安置住房,上海江南建筑设计院集团有限公司,27942,上海建工一建集团有限公司,17700,上海嘉蓝建设工程监理有限公司
徐行32-02地块,576,东至启秀路，西至基地边界，南至唐家浜，北至树屏东路,上海嘉定区住宅建设综合开发有限责任公司,征收安置住房,上海江南建筑设计院（集团）有限公司、华东建筑设计院有限公司,72200,中铁四局集团有限公司,53300,上海显达工程管理有限公司
安亭镇泰东公寓三期,495,安亭镇朱泾村，东至东环路，南至基地边界，西至盐铁塘，北至方中路,上海嘉黄房产开发有限公司,征收安置住房,上海江南建筑设计院集团有限公司,70405.7,上海金鹿建设（集团）有限公司,48900,上海嘉誉工程监理有限公司
梅陇镇朱行工业区S11-0801单元FA-03地块,1225,东至用地红线，西至龙州路，南至莘朱路，北至梅景路,上海城享置业有限公司,征收（动迁）安置房,上海沪防建筑设计有限公司,156988,浙江舜杰建筑集团股份有限公司,107751,上海景业建设工程监理咨询有限公司
七宝镇闵行新城MHC10105单元03-12地块,392,东至七宝教寺地红线，西至北横泾，南至七宝教寺用地红线，北至青年路,上海住保宝程置业有限公司,征收（动迁） 安置房,上海沪闵建筑设计院有限公司,42401,上海建工五建集团有限公司,27976,上海建科工程咨询有限公司
